source,target
24930,23869
24944,10106
24947,5363
24956,37073
24962,53975
24969,34548
24975,8957
24980,34555
24986,11473533
24994,4904
25001,23619
25009,9160
25017,30503
25039,15462
25041,15408
25042,22326
25061,34945
25065,7878457
25072,11008
25074,113070
25087,19714
25093,39699
25101,6889
25103,28642
25122,34548
25126,17810
25134,82764
25142,3434750
25157,29376
25175,20646438
25185,670
25189,19283335
25194,22316
25202,34545
25202,26884
25211,39049
25217,23588
25223,37447
25233,158830
25241,66719
25254,140958
25265,50578
25271,15462
25286,9334
25297,99803
25310,34967
25315,75028
25330,33163
25342,14362
25348,57070
25385,34548
25389,34726
25389,23399135
25391,689
25391,890918
25391,24320051
25401,18011
25407,21474
25410,34548
25412,51811
25414,175914
25414,19522
25414,70364
25422,34648
25422,1442
25422,21346421
25422,11322
25422,16025
25422,15802
25422,19514
25422,22542
25422,53446
25422,31716
25427,22366
25432,34549
25433,34661
25433,24460
25445,627
25445,25507
25452,38275276
25452,15819
25453,13792
25458,35496
25458,11525
25458,19230687
25473,34606
25473,26779
25475,37736
25486,54146
25495,34549
25499,5405
25507,10310
25508,7567080
25520,47456569
25523,21488
25525,51489
25532,64387
25536,35649
25597,6623
25599,6207
25599,31345045
25600,82381
25600,30040
25601,19593121
25602,899
25602,13255
25602,34341
25603,19051
25604,6445
25604,23053
25613,5334607
25613,17416221
25614,22939
25622,64035
25631,46310
25636,38872
25638,38872
25640,34244
25650,11867
25657,19344654
25665,1064
25676,849
25682,17888
25695,34548
25703,18622119
25704,1616030
25708,59755
25715,25714
25721,26787
25732,15791
25736,34668
25740,358584
25742,47805
25754,49090
25758,1800
25762,9209651
25766,6781
25776,34676
25781,147918
25784,4689264
25789,35688
25791,48412
25791,8580
25791,74663
25793,22054
25798,25433
25809,5826
25816,1559
25821,68328
25829,88717
25832,75350
25840,20805
25853,42029
25856,21785
25867,34756
25876,35748
25880,37649
25894,914
25898,23529
25901,34671
25915,12383
25929,28395
25944,11103
25949,24733
25969,10791746
25973,30636
25978,34555
25983,28254
25989,25825
26000,175607
26023,74041
26036,34755
26037,52978
26049,86313
26056,34661
26061,14326
26073,153774
26080,1095706
26090,24113
26094,18839
26096,63753
26104,19849
26110,34553
26113,18306
26123,66924
26139,12266
26151,151668
26159,34751
26168,34545
26171,16743
26175,105978
26185,22954
26192,21448
26197,37800
26201,5739
26202,34772
26207,166679
26220,93548
26227,165992
26232,15843
26243,34598
26255,34634
26264,21504235
26270,10110
26272,23958411
26284,90444
26286,29970
26287,32927
26288,38593
26289,35408
26289,19353
26295,62593
26299,34699
26304,17867
26308,61479
26316,25613
26338,19985174
26349,33183
26366,31232
26368,15862
26378,188171
26388,21216
26399,34708
26401,136036
26414,34946
26417,187377
26436,89127
26444,33509
26447,24092
26455,20859
26464,19004
26474,22760983
26478,9678
26484,13543
26501,34556
26514,22926
26531,1826
26540,14532
26546,23278520
26552,8352
26552,145203
26561,97849
26571,15793
26573,14538619
26590,51079
26667,69605
26667,41188263
26671,34643
26678,73503
26678,62952
26685,9546
26691,18831
26700,37010
26709,34550
26714,153156
26725,63780
26742,34440
26746,26810748
26748,21205103
26748,25845
26751,162714
26752,9739
26757,17524
26769,18951905
26775,12229
26779,24110
26786,4764461
26787,29184
26790,31045316
26792,34652
26801,29037
26808,21869
26817,52504
26822,7954422
26823,19344
26825,9356
26826,3755
26826,66581
26828,21205103
26830,34548
26830,22936
26833,393736
26840,8429
26847,19279158
26860,6759
26866,633
26873,34749
26876,4932111
26876,164570
26889,22595
26895,21255
26903,47200
26903,24721
26907,8246
26913,47862514
26919,23772190
26932,22472
26940,171701
26948,56212
26954,34584
26954,142269
26962,36563
26973,19283806
26976,33123
26987,25486
26992,53021034
26994,22645
26995,69894
27001,27000
27007,152708
27010,5323
27012,27010
27019,27019
27033,22121
27034,25401
27038,34648
27038,18491946
27045,19358
27058,21274
27065,172734
27067,27278
27070,2597320
27073,17157886
27081,27082
27094,55312
27108,27112
27113,5042765
27116,13255
27116,31743
27117,10624594
27118,37411
27118,19600416
27118,71443
27119,23290471
27119,42020
27122,166499
27126,43224
27127,6246
27127,19937
27127,59438
27159,34618
27160,3778
27169,27718
27173,34243
27183,21299730
27193,26945
27212,27228
27233,51346
27240,8104
27248,19360669
27250,13393
27261,5862
27269,14653
27272,9720597
27274,29831
27280,5334607
27286,12186
27303,38940
27307,3434750
27308,31769
27318,27327
27322,31769
27327,30305
27330,11867
27336,22796
27338,27347
27338,31115
27340,20110668
27342,17391
27347,54020
27358,27365
27371,89355
27374,23195
27390,31743
27397,6443
27411,29803
27415,34556
27422,31717
27426,82420
27439,26828
27453,8082
27463,10597
27476,7515849
27489,16143
27529,28021
27530,34674
27530,15573
27531,35015
27531,11867
27532,34668
27532,72650
27533,34921
27533,1781
27533,23867
27546,9509
27558,18963787
27560,90203
27562,34567
27566,18603746
27566,26667
27576,27581
27586,23809392
27600,64074
27611,60835
27619,39496
27619,45055
27633,76305
27640,15600
27644,14276
27650,34845
27650,18553
27651,34677
27651,159074
27654,161883
27658,25734
27667,21538
27676,75820
27681,19004
27683,147409
27687,34640
27687,94524
27692,16142
27694,21433
27698,8477
27699,13530298
27706,80402
27711,12950
27718,6612
27718,29155
27730,27338
27743,26884
27752,17939
27753,25102
27763,51119
27765,34649
27765,44014
27772,44603
27777,25794
27790,4531
27791,82285
27804,48093
27809,31217535
27834,28445
27843,34584
27843,15786
27846,26667
27855,20018
27862,71432
27863,14734
27875,35502
27885,34945
27888,20344
27889,34551
27889,37554
27908,6182
27916,34955
27924,4715
27930,6354
27934,34864
27934,12578
27934,26779
27935,34750
27935,13394
27935,202354
27942,25609
27947,34968
27947,23306251
27948,34900
27948,57124
27948,29669
27949,34748
27949,15785
27954,34650
27958,7085
27971,34556
27979,9426
27982,381399
27989,34597
27989,5042916
27989,27765
27990,34622
27990,15786
27991,19345094
27992,37403
27992,27421
27993,34648
27993,37749
27999,53196
28011,6173
28017,99988
28020,34980
28020,19568112
28020,32927
28021,34601
28021,19345
28027,38957
28030,34624
28030,8143
28030,147311
28042,23943
28045,645042
28047,3969
28047,31702
28066,22468
28080,31702
28113,3343
28113,189513
28119,18890
28132,26569682
28134,24028
28135,53458
28135,24985
28143,22303
28145,34662
28145,15785
28146,34575
28146,19345
28147,34864
28147,7023
28147,38473
28148,5478
28148,44463
28151,3434750
28154,5267
28164,34945
28170,14379
28175,15214
28178,34864
28178,5247
28178,19159283
28181,7607314
28191,7701
28195,32354
28202,34662
28202,175644
28203,34602
28203,17909
28204,34649
28204,9316
28204,26779
28211,5323
28222,22938
28233,8569916
28236,14532
28237,16075
28238,34658
28239,34658
28240,35502
28249,44578
28259,18618239
28265,15848
28267,4764461
28278,2371
28288,65734
28296,21787
28305,12024
28307,22667
28309,77736
28319,1449
28327,16115
28334,187749
28354,13876
28366,8551
28368,50591
28377,147218
28381,10671
28392,31287
28395,38138
28399,35913
28405,34718
28412,34671
28413,20189
28416,35502
28422,26471
28431,79403
28438,12734
28443,43864
28450,21482
28469,10779
28484,147753
28488,34956
28488,187645
28489,39576
28500,4410
28504,689
28506,37841
28524,24553
28544,34792
28544,3850
28544,54023
28553,3434750
28563,75459
28573,8569916
28584,38275275
28596,15174
28607,22989
28617,34715
28623,34622
28630,34612
28637,18842281
28642,59663
28648,25717
28667,34629
28672,36305
28687,121094
28687,121159
28688,13999
28698,19344654
28701,5247
28715,87368
28722,15817
28730,58725
28736,59715
28742,6056
28747,16749
28754,34689
28760,5309
28766,63093
28769,18842431
28779,31784
28805,34550
28809,33509
28810,34658
28819,21780
28825,34558
28825,3434750
28833,6237
28841,19541
28852,12274
28857,9804
28857,30912
28866,32094
28876,23417070
28894,50041
28899,6097297
28908,25900
28922,87168
28925,10685
28927,26808
28930,39666
28942,9663
28952,35523
28953,80052
28969,34633
28975,2357
28979,25465798
28994,93489
29006,23070
29013,26962
29035,28222625
29045,13543
29056,18457137
29076,5211
29090,32288
29091,15802
29098,30153241
29105,41892
29123,13191
29127,77138
29129,16192
29136,16202
29143,27718
29151,34669
29158,15793
29165,29163
29177,43373
29186,25734
29192,26750
29208,185427
29213,13533
29236,34772
29240,32712
29252,2746
29260,59658
29268,34602
29268,33928
29287,168208
29301,16143
29305,26952
29316,34659
29324,2322
29328,24898
29330,64959
29349,20818
29365,9228
29370,55999
29376,45427
29378,72784
29385,2731583
29398,5405
29408,34714
29410,20871
29421,36282
29438,35502
29440,25814008
29450,23943
29467,19457
29479,737
29484,17349325
29490,182000
29498,4689264
29513,23015
29532,50744
29549,21488
29558,14532
29574,18842323
29586,23542
29598,849
29603,19571
29618,29992
29631,16517
29639,18951556
29646,22936
29660,17888
29678,155691
29778,34754
29781,71376
29789,51155
29798,34753
29798,19222532
29801,42052
29810,8121
29810,151174
29812,34555
29812,9288
29812,74840
29812,3434750
29816,47403
29816,32977
29823,34860
29823,29773
29831,7587
29834,34664
29838,10510
29838,144196
29843,72758
29918,29919
29922,27992
29942,69887
29947,5360
29954,148420
29957,23141343
29969,34601
29969,25431
29970,28145
29984,5267
29992,30018
30001,22939
30003,23883234
30006,18717883
30010,23275402
30011,27709
30012,34534
30024,15765
30029,25560410
30030,33685
30038,894
30040,3230
30040,26764
30040,27116
30041,60633
30041,25600
30042,8429
30042,23270
30043,67211
30043,59438
30044,67231
30046,5407
30046,19052
30048,39727
30048,38145
30048,40197
30057,147739
30058,21209639
30058,20588
30058,30059
30065,187689
30071,25346998
30075,16217
30078,144893
30089,91052
30092,25734
30104,175636
30107,34575
30107,14579
30108,30111
30119,34550
30123,31717
30128,19352
30129,19722
30132,34601
30133,6670
30135,97169
30143,57448
30152,30148
30173,15573
30199,3415
30201,14338129
30208,18955999
30216,746
30217,20314
30227,22621
30246,64958
30254,9209651
30265,86586
30269,106299
30273,34689
30275,13451
30282,88706
30292,39884
30297,21433
30302,19344654
30309,39727
30309,19446
30309,34341
30318,22667
30324,43254
30330,14563
30337,131855
30342,51543
30344,4456
30353,10371
30361,14814
30364,30040
30369,5180
30388,3736
30395,72886
30403,54342
30417,34635
30425,41660
30437,5042765
30448,21476
30450,33662
30462,18993869
30470,19730
30479,26284
30494,32502
30498,34648
30498,16797
30503,186861
30511,14800
30518,30644
30524,34756
30528,5355
30535,34677
30538,53290
30540,143706
30552,5407
30555,118212
30564,17157886
30570,75258
30583,10772350
30598,10597
30606,308
30625,26954
30635,16022
30636,188576
30636,26779
30647,25453673
30652,169118
30654,187926
30664,34570
30677,13802
30689,34776
30697,34658
30702,175864
30718,26751
30731,7925
30745,47264
30746,18717981
30757,9549
30769,34610
30775,645042
30795,35848
30796,17771
30807,2112
30811,18195
30814,97509
30840,74264
30847,34670
30848,30869
30853,35178
30855,27672
30863,1132
30877,7940
30890,1930
30890,5573
30890,13394
30890,18926
30890,63065
30890,27338
30890,21345189
30900,169218
30907,15435
30912,21958
30930,34761
30942,28419612
30947,23416994
30955,46029
30963,4092
30965,33884
30978,12620
30988,3267529
31010,3722
31028,44605
31028,25737
31034,34648
31045,67025
31056,2282
31058,159919
31066,76989
31075,34606
31088,17157886
31093,34640
31102,34752
31115,34846
31119,18449452
31127,16090
31131,2180
31140,51758
31155,189692
31164,20943
31166,35828
31171,21764
31178,26964606
31180,26751
31188,23743
31202,34398
31214,36869
31222,2462183
31236,24674462
31254,29378
31255,84703
31259,4492
31272,73536
31278,18836
31292,167918
31296,11439
31304,55856
31331,20585
31338,14317
31347,42993
31350,34847
31353,27485
31365,26435
31375,9770
31381,85818
31389,645042
31401,21492554
31415,4543
31418,34610
31426,38683
31428,15250
31438,34684
31449,15476
31460,13118744
31471,4340
31477,28565
31485,84849
31496,34726
31502,5034
31515,99940
31522,34624
31529,20206
31537,5675
31542,2377
31542,1155299
31554,17867
31563,45358446
31571,53664
31579,187351
31591,7555
31593,67522
31620,3433
31641,33164
31644,3434750
31653,11766
31668,31756
31716,46991
31717,148690
31717,68736
31717,21265
31717,94339
31723,34891
31723,90558
31723,21139
31724,45086
31729,20206
31736,22303
31737,25433
31739,25433
31742,3365
31743,25602
31750,31833
31752,89160
31759,31756
31764,34770
31768,34648
31769,18603746
31769,38068
31770,7023
31772,9536
31780,10779
31792,15626
31795,34761
31797,128362
31800,18957
31803,17566665
31805,25353172
31809,5704
31828,60007
31844,34639
31853,5187
31855,5987
31857,36565
31860,19862
31874,42029
31880,323592
31888,141496
31898,5551
31898,17514
31898,27228
31902,34545
31911,139436
31922,39039
31934,19279054
31945,34751
31945,68074
31945,26049
31949,34551
31956,88805
31969,34664
31969,3343
31969,17238590
31969,19088
31969,22436
31969,27358
31975,39206
31980,51278
31990,7955
32005,34773
32017,34761
32017,7930
32017,18110
32017,15368428
32019,3760
32019,34420
32021,60007
32034,30552
32039,28866471
32044,56522
32047,31259
32055,67193
32059,3267529
32065,55880
32070,34598
32071,15864
32077,25473
32087,2147
32090,17885
32097,34983
32101,72760
32108,31232
32117,5999
32126,63837
32131,31108412
32146,34138
32150,35502
32150,15809
32150,22437
32161,32133
32173,35552
32181,18933271
32181,28922
32185,16949861
32186,35514
32186,20209
32188,13446
32197,21650
32207,32203
32212,26769
32217,32181
32220,15805
32223,34689
32226,15988
32233,981
32238,46710
32243,35074
32243,1862
32243,15813
32243,21581
32245,27716891
32249,21580
32255,1008
32257,34632
32273,9420388
32279,35101
32286,18839
32293,35552
32293,34669
32293,25433
32298,8893
32307,32927
32310,34755
32318,57539
32325,34422
32328,19530
32336,30108
32347,19179023
32359,25458
32362,22537
32370,14828
32375,34899
32375,54247
32378,14073
32390,5360
32390,26055
32399,143382
32405,166017
32407,26073
32408,69805
32413,9640
32418,23805
32427,8816
32429,11820
32431,37402
32431,21989
32432,771
32432,3434750
32437,5195436
32441,20060
32443,32447
32457,5222
32472,9510
32478,28338919
32493,33119
32497,34647
32502,23051
32509,32512
32513,37694
32524,4689264
32530,43413
32533,19166474
32538,42205
32546,5355
32557,37602
32566,9550
32570,61813
32571,22721
32576,6046
32578,7954867
32587,10188
32591,26572
32597,24050435
32603,21148
32610,3434750
32611,11170
32611,25008
32616,26964606
32618,182000
32629,22740
32638,19535
32644,16316
32653,19167679
32668,21764
32676,147817
32681,32609
32693,670
32700,32571
32712,10100
32723,8359
32736,32517
32742,11185
32745,43534
32745,23609
32759,35074
32759,34847
32759,32293
32767,97089
32772,7172
32781,51396
32783,30526
32786,3434750
32794,21296224
32802,25816
32815,180208
32830,21148
32876,5213
32897,43206
32901,34610
32902,34601
32908,11310
32917,82981
32923,34646
32923,12787
32923,22349
32923,32359
32927,4284
32927,140790
32927,21790
32927,32087
32975,23117875
33055,33653
33060,34863
33090,160005
33105,169653
33118,113275
33123,5058739
33127,139221
33130,21210
33134,182667
33139,14539
33154,33153
33163,9906294
33166,3354
33171,12929
33172,30003
33173,34138
33176,20647197
33180,22980
33187,80497
33199,21148
33210,33209
33225,33220
33236,34164
33265,68511
33266,45353
33277,35517
33278,3434750
33290,18717981
33295,12734
33300,73276
33303,19370
33306,13255
33421,187813
33430,34669
33436,34791
33446,4356
33496,43956143
33496,57988
33496,33496
33496,28491
33501,26808
33516,10106
33521,15814
33523,34724
33531,44468
33536,1416
33538,54632
33546,69894
33555,18580879
33578,62028
33589,5042916
33594,34601
33596,27992
33607,5866
33611,140209
33617,23276
33622,15844
33642,23627
33653,8221
33662,45752
33683,34981
33685,3354
33687,63187
33700,5405
33702,33802
33718,9428
33728,21371767
33728,56629
33728,17207794
33728,9282173
33728,19137
33728,23420
33728,27338
33728,31853
33766,69666
33766,5166
33766,56667
33766,57065
33766,21383
33766,27238
33766,30057
33768,33236
33779,34569
33783,20210
33800,18953051
33802,142239
33805,59617
33816,18932702
33832,58488
33861,36979
33865,15368428
33870,28022
33882,159078
33884,36517
33900,1639
33908,23290
33915,36214
33917,33918
33925,34947
33931,3434750
33949,21197
33956,12938
33964,7959
33971,27979
33972,23269
33979,29219
33999,179747
34001,34614
34038,29336
34052,34613
34057,142298
34059,19675
34064,13191
34069,38862
34071,167293
34077,57959
34086,21949249
34113,134334
34128,46743
34134,80745
34139,3230
34139,61648
34142,12255
34147,16629
34159,34211
34190,28901365
34197,32496
34204,18948337
34217,80881
34226,182690
34230,7954867
34243,19191
34244,32927
34254,65980
34268,1460
34273,11958
34276,27529
34289,56472
34291,67782
34340,67060
34342,42200
34358,23015
34364,5704
34369,37403
34373,29265
34386,37566
34398,79320
34398,79682
34398,104528
34398,83151
34398,19272041
34401,34415
34411,1826
34411,15797
34414,56337
34419,2275
34420,66650
34422,1187
34422,18909
34424,31717
34427,61487
34439,35502
34440,51736
34452,34636
34460,36797
34468,12491
34483,11801
34485,22348
34494,2080
34513,11324
34526,593
34535,27838
34545,34750
34545,19280734
34548,34636
34548,8270
34548,21448
34549,171659
34549,39620
34549,24150
34550,34555
34550,11363
34550,15806
34550,67764
34551,34555
34551,23489161
34551,46213
34551,20273
34551,26787
34553,34548
34553,8848
34553,51153
34553,19291
34553,30582
34555,88604
34555,42172
34556,18617829
34557,18938115
34557,26940
34558,34608
34558,34549
34558,689
34558,9317
34558,17062
34558,25473
34558,32927
34566,34738
34567,39914
34567,39497
34567,14533
34568,34995
34568,34960
34568,6121
34569,35087
34569,34918
34569,38643
34570,38644
34570,35842
34570,34730
34570,29922
34573,16772
34575,34584
34575,5407
34575,160965
34575,21460
34578,34555
34578,38117
34578,28235
34579,21504
34583,51255
34584,1334
34584,15911
34584,28606
34586,35247
34587,34907
34589,35045
34590,34667
34592,34696
34594,186711
34594,12216
34594,25408
34595,5618
34595,21798
34596,125201
34597,176594
34598,54403
34598,18679439
34598,136365
34600,34650
34600,11141
34600,147149
34601,37402
34601,15789
34601,29392
34602,1442
34602,15968
34603,23298
34604,8144
34604,46284
34605,34616
34605,52452
34606,34613
34606,11006
34606,23385442
34608,34911
34608,11363
34608,52502
34609,1017
34609,15842
34610,160403
34610,11009
34610,19331
34610,28168
34612,140308
34612,15940
34612,27529
34613,15573
34614,4443
34614,18313
34614,33924
34615,28766
34616,26964606
34616,26230922
34617,34578
34617,19677
34618,34652
34618,161640
34618,25416893
34619,34621
34620,15654
34621,30172853
34622,33088
34622,15813
34622,44458
34624,2731583
34624,6293
34624,10882
34624,16191
34624,19527
34624,22570
34624,44213
34625,35151
34625,39524
34625,34882
34626,62581
34627,21654
34628,25507
34629,8352
34629,19477526
34629,15368428
34630,34751
34630,11009
34630,179187
34631,34604
34631,5247
34631,18953051
34631,19516
34631,26989
34632,2731583
34632,16192
34632,25391
34633,36260
34633,42503
34633,95429
34634,19818
34635,87070
34635,15789
34635,25391
34636,94341
34636,16025
34636,146168
34637,34613
34637,20273
34639,34791
34639,11184
34639,79336
34640,8356
34640,23408886
34640,34051
34641,15848
34642,24632
34643,48460
34643,42788
34644,36610
34644,35544
34644,36215
34645,36282
34645,40052
34645,36301
34646,34774
34646,27993
34647,168787
34647,16191
34647,22218
34648,34557
34648,62417
34648,157763
34649,9663
34650,34774
34650,71376
34651,34626
34651,60633
34651,145605
34652,8227
34653,34732
34653,8851
34653,22693343
34654,34555
34654,16192
34654,29441
34655,62027
34655,15814
34655,149077
34656,18951826
34656,15793
34656,34289
34658,46093
34658,37139
34659,34613
34659,76762
34659,22440
34660,24636
34661,5489
34661,168368
34661,23033
34662,34621
34662,11170
34662,101249
34664,5488
34664,21201
34665,34636
34665,15845
34666,34795
34666,11008
34666,44887
34667,16112
34668,1011
34668,31737
34669,5042916
34669,113471
34669,32927
34670,11020
34670,28820
34671,80903
34671,11974
34671,37449
34671,25901
34672,34662
34672,15787
34673,34613
34673,11021
34673,22556
34674,34754
34674,15988
34675,34615
34675,11360
34675,3434750
34676,1777
34676,11322
34676,15857
34676,22442
34677,34605
34677,11049
34677,24109
34679,18951490
34679,22332
34680,1010
34680,22436
34684,34708
34684,12104
34684,23273
34685,30583
34687,35108
34688,35095
34689,149108
34689,25416893
34690,18948337
34690,182069
34691,145649
34691,16192
34691,46825
34692,36173
34695,34901
34697,35801
34698,35738
34699,34731
34700,35242
34701,303
34701,27007
34703,171587
34703,11826
34703,21763
34704,34978
34704,31990
34705,16022
34706,34558
34707,34558
34707,22527
34708,188675
34708,16192
34708,25391
34709,26994
34711,34621
34711,161275
34712,11310
34712,30273
34713,11025
34714,34732
34714,25071
34715,11361
34716,34731
34716,29778
34717,12531
34717,28134
34719,34733
34720,34569
34722,34696
34724,172497
34724,16011
34725,34773
34726,34573
34726,4163
34726,16095
34726,21201
34727,35852
34729,34722
34731,34792
34733,34934
34734,35132
34735,35391
34735,35132
34735,36922
34738,35701
34738,52454
34738,35177
34739,35094
34739,35646
34739,50984
34740,36404
34740,35137
34741,35682
34741,35235
34741,35721
34742,35632
34742,52442
34742,35733
34743,44024
34743,43756
34743,42778
34744,35430
34744,43831
34744,30570
34746,34700
34746,40441
34747,21171418
34748,1008
34748,11141
34748,17633
34748,113063
34749,171689
34749,4348
34749,9230
34749,58719
34749,20329
34749,22403
34749,80048
34750,28419612
34750,15792
34750,65656
34751,3366
34751,15803
34751,28147
34752,1461
34752,15954
34752,24117
34753,737
34753,17238590
34753,17771
34753,25428
34754,34578
34754,162764
34754,23385442
34755,34756
34755,15813
34755,11125639
34756,6612
34756,21201
34757,34568
34759,34567
34760,7878457
34760,162759
34761,34670
34761,11063
34761,23033
34762,863
34763,34968
34764,34729
34765,35858
34766,39879893
34768,34795
34768,187691
34769,13040
34770,34769
34770,15787
34771,15988
34772,11020
34773,34664
34774,34700
34775,34684
34775,13043
34775,30128
34776,5215
34776,169382
34777,34844
34777,13043
34778,35118
34780,35115
34781,11164
34782,14187
34784,34651
34785,38275275
34785,32197
34787,25890428
34788,11362
34789,28419612
34790,34654
34790,15854
34791,5042481
34792,34713
34792,15988
34793,34583
34793,15793
34794,34621
34794,94154
34796,34626
34798,77143
34798,65219
34798,51374
34799,34742
34800,19355
34802,18934
34804,34840
34806,34822
34808,34821
34810,12446
34813,34744
34815,75258
34818,34822
34821,34744
34825,34628
34828,34825
34831,35492
34833,34834
34835,35598
34835,35103
34835,54896
34837,61511
34837,61657
34837,60506
34838,60717
34838,62509
34838,77135
34839,73267
34839,77113
34839,13574
34840,113117
34840,5823
34843,35118
34844,16208
34845,34726
34846,34755
34846,15786
34847,34670
34847,75215
34847,19541
34847,32927
34850,36666
34851,736
34851,19629
34856,52409
34858,52420
34860,34568
34862,34823
34863,11322
34863,61325
34864,11170
34864,24742
34865,1794
34865,15864
34865,33265
34866,11363
34866,21210
34867,34573
34867,15847
34867,28406
34868,22936
34870,35819
34872,35041
34875,35173
34877,35935
34879,39970
34881,39546
34883,36362
34884,22278
34886,34692
34887,323592
34889,34888
34890,34928
34891,22278
34893,34860
34894,20211
34896,34569
34897,8452
34899,34869
34900,16181
34902,34745
34903,34574
34904,23716
34906,38648
34908,35143
34911,34867
34911,10991
34911,42640
34914,34696
34914,12867
34914,3434750
34916,34946
34918,6653
34921,15791
34922,169991
34924,38924
34927,34907
34928,54386
34931,21648
34934,34570
34936,51356
34937,3966054
34938,15792
34939,1628
34939,52497
34941,36404
34943,35227
34944,36228
34945,5058739
34947,34902
34948,28419612
34949,34797
34949,34059
34950,31717
34951,3434750
34953,34613
34953,11010
34953,26787
34954,15789
34955,11164
34956,34843
34958,35144
34960,34660
34961,48594
34963,34732
34964,35072
34965,34796
34966,34570
34967,34905
34968,34732
34968,75129
34970,35028
34971,3390
34972,34567
34974,35060
34976,34927
34977,34569
34978,31717
34980,9316
34980,23385442
34981,34557
34981,15791
34982,34672
34982,14045
34982,27933
34983,11360
34986,35119
34987,47507
34989,53063
34990,5058739
34992,34570
34994,35228
34996,39501
34998,59329
35000,60808
35002,51383
35004,52431
35006,52430
35008,51185
35009,12681205
35012,47735
35013,188277
35014,34796
35015,35243
35016,35086
35018,34695
35019,38702
35020,29688374
35021,15982
35025,35035
35026,15085
35028,35031
35030,35918
35032,35033
35034,34739
35036,35028
35038,34735
35041,35044
35043,36400
35045,38630
35051,35247
35053,34645
35055,35407
35057,34693
35058,15792
35061,4913064
35068,34558
35069,36061
35071,34574
35072,8724
35073,35072
35073,30395
35075,34732
35076,35820
35078,36228
35079,34889
35080,18933271
35082,34907
35084,34758
35085,19444
35087,34591
35090,35382
35092,35236
35093,24593
35095,38625
35096,18201
35098,35106
35100,36228
35101,35162
35103,35266
35104,12681205
35106,34568
35108,35109
35109,21531764
35111,35030
35113,35420
35115,35667
35116,323592
35119,40082
35121,35412
35122,5314
35124,35474
35126,42524
35128,42788
35130,36323
35132,36376
35134,36387
35136,36235
35138,35233
35140,35109
35141,3455
35143,34934
35144,15986
35146,35202
35147,25391
35149,36220
35151,35152
35153,34625
35155,147575
35157,5314
35159,34644
35161,36194
35163,36293
35165,36294
35166,36440
35168,15573
35171,35034
35173,49143
35175,49374
35178,34645
35180,36898
35183,36899
35185,78083
35188,36899
35191,35161
35192,12343
35195,34860
35201,11324
35203,80506
35206,34822
35209,34822
35212,6140
35215,34826
35218,58009
35224,46630
35226,35019
35228,35101
35230,34765
35231,5646
35233,35234
35235,35240
35237,18011
35240,35236
35241,5405
35243,34796
35244,35645
35245,35235
35248,7878457
35251,36898
35254,34819
35256,19555884
35259,34823
35262,34826
35266,34819
35269,34820
35272,34823
35275,12492
35278,59617
35281,20985
35285,34744
35288,34822
35291,34628
35294,34822
35297,34744
35300,34835
35303,34744
35306,34825
35309,35357
35311,42527
35314,35615
35316,35699
35318,35319
35320,35619
35322,52443
35324,35038
35325,34633
35327,36432
35329,35773
35331,35916
35333,35335
35335,35324
35337,35038
35338,5314
35340,35030
35347,45745
35350,34833
35352,43836
35354,43778
35356,34744
35358,35353
35360,34833
35362,35351
35364,35351
35366,35349
35368,35350
35370,35369
35372,35375
35375,35371
35377,34833
35379,35376
35381,35389
35382,7825
35384,35131
35386,36305
35388,35385
35390,35240
35391,24057
35393,2345
35395,35129
35397,36313
35399,35092
35401,47682
35403,35236
35405,35134
35406,34740
35408,67156
35410,35036
35412,35036
35414,35038
35416,34796
35417,34739
35419,35035
35421,35425
35423,35421
35425,35423
35427,35428
35429,35433
35431,35429
35433,35430
35435,35437
35437,35349
35439,35811
35441,35349
35443,35444
35445,35480
35447,35351
35449,34628
35451,35035
35453,35457
35455,35036
35457,35452
35459,35042
35461,35041
35462,59700
35464,35027
35466,35124
35468,35469
35470,35124
35472,35470
35474,35470
35476,35038
35477,17972
35479,34739
35481,35353
35483,34743
35485,24068
35488,35483
35490,34696
35490,20273
35491,34708
35492,43751
35494,47390
35496,34729
35496,76747
35498,34779
35500,36343
35501,51392
35502,1826
35502,28222445
35502,15920
35502,144035
35502,22341
35502,27862
35504,11324
35514,307
35515,34570
35516,1623
35517,60633
35518,9334
35520,80745
35521,146769
35522,11020
35523,34730
35524,2196
35528,38677
35530,35935
35531,178177
35541,48479
35543,36277
35545,36043
35547,35642
35548,24152
35550,24275
35558,34341
35562,50037
35566,62055
35569,37922
35572,42687
35578,40202
35582,55508
35585,52173
35587,52161
35589,51354
35591,34341
35594,51185
35596,59978
35598,35599
35600,35601
35602,52162
35603,5646
35605,35642
35607,35635
35609,36449
35610,8204
35612,34742
35614,35320
35616,52583
35618,52467
35627,34705
35628,51352
35630,35643
35632,35630
35634,35636
35636,35127
35637,31131
35639,74663
35641,53739
35643,13525
35646,35026
35648,35598
35650,35642
35652,35651
35654,36722
35655,141875
35657,18618136
35659,54220
35661,35645
35663,36351
35665,35638
35667,35666
35669,48456
35671,35354
35673,36634
35675,8380114
35677,35320
35678,2462183
35680,34741
35682,166420
35684,35751
35686,35753
35688,35754
35690,36322
35692,35762
35693,14532
35695,350939
35697,79548
35699,35235
35701,34738
35702,106002
35704,35768
35706,35234
35707,16972981
35709,183235
35711,35785
35713,35237
35715,35237
35717,35237
35719,35796
35720,28487
35722,15573
35725,35154
